,latitude,longitude,incident_datetime,criminal_rate
0,37.773466920607476,-122.39143433652146,2018-01-31,0.0
1,37.75616698278188,-122.40663579982515,2018-01-31,0.00815217391304348
2,37.716156273799264,-122.39000172133102,2018-01-31,0.006793478260869565
3,37.780614965813264,-122.41613809985034,2018-03-31,0.009510869565217392
4,37.787765494696465,-122.40504139998343,2018-03-31,0.0
5,37.76817786907554,-122.41073071858334,2018-03-31,0.13179347826086957
6,37.77989010577922,-122.42189157233493,2018-03-31,0.006793478260869565
7,37.77262031024476,-122.4339221892179,2018-03-31,0.3315217391304348
8,37.78197461947164,-122.48594532901511,2018-04-30,0.004076086956521739
9,37.76817786907554,-122.41073071858334,2018-04-30,0.06521739130434782
10,37.7681396823622,-122.42219917520208,2018-04-30,0.006793478260869565
11,37.77262031024476,-122.4339221892179,2018-04-30,0.02717391304347826
12,37.77034734336754,-122.41374961166352,2018-05-31,0.0
13,37.77177909734827,-122.44054621111066,2018-05-31,0.004076086956521739
14,37.77230320284353,-122.41967183064224,2018-05-31,0.0
15,37.77262031024476,-122.4339221892179,2018-05-31,0.00815217391304348
16,37.766739480211164,-122.41873445003144,2018-05-31,0.004076086956521739
17,37.77646430525107,-122.42626334607084,2018-06-30,0.00815217391304348
18,37.770519317566674,-122.45040750689292,2018-06-30,0.0
19,37.78207306684549,-122.41222073683006,2018-06-30,0.004076086956521739
20,37.776332975565595,-122.39403506751226,2018-07-31,0.0
21,37.773466920607476,-122.39143433652146,2018-07-31,0.00815217391304348
22,37.78808669066607,-122.41240468541214,2018-07-31,0.006793478260869565
23,37.79208770821325,-122.41629064994724,2018-08-31,0.006793478260869565
24,37.80305688489309,-122.43332795746888,2018-08-31,0.001358695652173913
25,37.7843492684367,-122.4093091807476,2018-09-30,0.0
26,37.74783213904002,-122.43816580517132,2018-09-30,0.006793478260869565
27,37.7617941434585,-122.47485493300424,2018-09-30,0.00815217391304348
28,37.77262031024476,-122.4339221892179,2018-09-30,0.01766304347826087
